pl_name,pl_rade,pl_masse,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,st_spectype,st_mass,st_lum,st_rad,st_teff
Gaia-5 b,,6633.078854,,,358.62,,,0.339,-1.82594,0.345,3447
Gaia22dkvL b,,261.2549506,,,,1.68,,1.046,,,
Gl 378 b,,,830,,3.822,0.039435,M1,0.56,-1.22185,0.56,3879
Gl 410 b,,,,,6.02,0.0531,,0.55,-1.239,0.543,3842
Gl 49 b,,,,,13.8508,0.0905,M1.5 V,0.515,-1.30645,0.511,3805
Gl 686 b,,,,,15.53,0.091,,0.426,-1.53,0.427,3656
Gl 725 A b,,,,,11.2201,0.068,M3,0.33,-1.809,0.351,3433
Gliese 12 b,0.9,10,315,1.6,12.76142,0.067,M4 V,0.241,-2.13077,0.269,3253
HAT-P-1 b,14.784671,166.86075,1322,,4.46529976,0.05561,,1.151,,1.174,5980
HAT-P-11 b,5.29152,,810,71.6805,4.8878037,,,,,0.76,4757.3
HAT-P-11 c,,731.009,,,3397,,,0.809,,,
HAT-P-12 b,,66.394687,,,,,,0.733,,,
HAT-P-13 b,16.667783,287.95398,1740,,2.9162382,0.0431,,,,,5653
HAT-P-13 c,,,,,445.82,1.258,,1.32,,,
HAT-P-14 b,13.663771,721.79193,1624,,4.6276691,0.06108,,1.418,,1.591,6600
HAT-P-15 b,,649.32669,,,,,,1.013,,,
HAT-P-16 b,,,,,2.7759704,,,,,,6158
HAT-P-17 b,,,,,10.33853522,,K,0.857,-0.319,0.838,5246
HAT-P-17 c,,,,,3972,4.67,,0.857,,0.837,5246
HAT-P-18 b,10.7299795,,768.05,82.2407,5.508068217,,,,,0.740113,4790
HAT-P-19 b,,,,,4.0087842,,,0.831,-0.4455,0.795696,5007
HAT-P-2 b,12.3,2828.6,1700,,5.6,0.068,F8 V,,,,6300
HAT-P-2 c,,3400.763955,,,8500,,,1.33,,,
HAT-P-20 b,,,1134,,2.8753187,,,0.73,-0.72995,0.678271,4604.03
HAT-P-21 b,11.478,1291.289,1283,,4.124481,0.0494,G3,0.947,0.025,1.105,5588
HAT-P-22 b,,,,,3.21223265,,,,,,5302
HAT-P-23 b,15.333912,626.1251,,,1.21288287,0.0232,,1.13,,1.203,5905
HAT-P-24 b,14.5717,238.3725,,,3.35524,,,1.37,,1.38,6373
HAT-P-25 b,,,,,3.6528162,,G5,1.01,-0.125,0.959,5500
HAT-P-26 b,7.06167,22.2481,,,4.23452,,,1.12,,0.87,5079
HAT-P-27 b,11.43318,195.78328,,,3.0395824,0.03998,,0.92,,0.87,5190
HAT-P-28 b,12.35693611,,1237.76,554.7122,3.257389802,,,,,1.04613,5698.38
HAT-P-29 b,,,,,5.723371,,F8,1.207,0.265,1.224,6087
HAT-P-3 b,9.97601,190.38017,,,2.899738,,,,,0.834,
HAT-P-30 b,,,,,2.81060097,,,1.242,0.312,1.215,6304
HAT-P-31 b,,707.80741,,,,,,1.218,,,
HAT-P-32 b,22.19382,216.1244,1835.7,1841,2.1500082,0.03397,,1.132,0.33806,1.367,6001
HAT-P-33 b,20.73665,292.4036,,,3.47447,,,1.82,,1.79,6446
HAT-P-34 b,,,,,,,,,,,
HAT-P-35 b,,,,,3.6466594,,,,,,
HAT-P-36 b,14.168,582.24,1823,,1.327347,0.0238,,1.022,0.013,1.096,5560
HAT-P-37 b,13.204,371.528,1271,,2.797436,0.0379,,0.929,-0.208,0.877,5500
HAT-P-38 b,9.247425,84.86061,,,4.640382,0.05231,,0.886,,0.923,5330
HAT-P-39 b,,,,,3.5438737,,,1.404,0.607,1.625,6430
HAT-P-4 b,,,,,3.0565233,,,1.248,0.431,1.596,5860
HAT-P-40 b,18.03115599,,1648.99,1747.4151,4.457144371,,,,,2.09465,6074
HAT-P-41 b,18.887165,254.264,,,2.694047,,,1.418,,1.683,6390
HAT-P-42 b,,,,,4.6418499,,,1.178,0.356,1.53,5743
HAT-P-43 b,14.358729,232.0159,,,3.332687,0.04445,,1.048,,1.103,5645
HAT-P-44 b,,,,,4.3011886,,,0.86,-0.18167,1.033,5115.16
HAT-P-44 c,,,,,872.2,1.752,,0.942,-0.194,0.949,5295
HAT-P-45 b,16.90823315,,1452.61,1052.239,3.129047562,,,,,1.45054,5585
HAT-P-46 b,,,,,4.463137,,,,,,
HAT-P-49 b,,,,,2.6915539,,F3,,,1.833,6820
HAT-P-5 b,13.94326447,,1377.4,850.6754,2.788472266,,,,,1.12956,5833
HAT-P-50 b,,,,,3.1220018,,,1.273,0.60314,1.698,6280
HAT-P-51 b,13.50682174,97.57332095,1168.2,310,4.21802091,0.05042,,0.961,-0.10237,0.995,5453
HAT-P-52 b,,,,,2.75359762,,,,,,
HAT-P-53 b,14.773462,469.43491,,,1.9616241,0.0316,,1.093,,1.209,5956
HAT-P-54 b,40,,,,3.80001,,,,,0.68,4441
HAT-P-55 b,,,,,3.5852465,,,1.013,,1.011,5808
HAT-P-56 b,19.1,,,,2.7908821,,,,,1.8,6659
HAT-P-57 b,17.08611392,,1843,2726.6328,2.465180101,,,,,1.51554,6848
HAT-P-58 b,14.93036229,118.2321674,1622,1146,4.0138379,0.04994,,1.031,0.45637,1.53,6078
HAT-P-59 b,,,,,4.141977,,,,,,
HAT-P-6 b,,,,,3.85299849,,,,,,
HAT-P-60 b,,,,,4.7947925,,,,,,
HAT-P-61 b,10.07687365,335.9446262,1505,849.5,1.90231289,0.0301,,1.004,-0.1152,0.938,5587
HAT-P-62 b,,,,,2.64532306,,,1.023,0.09061,1.17,5629
HAT-P-63 b,13.62393371,,1118.89,370.3985,3.377741925,,,,,1.0408,5080
HAT-P-64 b,18.1614,,1664,1275.2,4.007232,,,,,1.75,6202
HAT-P-65 b,17.85436992,,1729.58,2114.8556,2.605267367,,,,,1.66978,5916
HAT-P-66 b,,,,,2.972086,,G0,1.255,0.6149,1.881,6002
HAT-P-67 b,22.6223,,1869,2029.17,4.8099755,,,,,2.65,6417
HAT-P-68 b,13.70588688,,963.63,203.782,2.298405789,,,,,0.794584,4221.54
HAT-P-69 b,,,,,4.7869491,,,1.648,1,1.926,7394
HAT-P-7 b,16.92559,574.00098,,,2.204737,0.03813,,1.51,,2,6350
HAT-P-70 b,,,,,2.7443245,,,1.89,1.22272,1.858,8450
HAT-P-8 b,,,,,3.07634347,,,1.28,0.519,1.58,6200
HAT-P-9 b,15.8493,,1369,583.697,3.9228042,,,,,1.3,6193
HATS-1 b,14.594,589.55,1359,,3.446459,0.0444,,0.986,0.04139,1.038,5870
HATS-10 b,,,,,3.3128281,,,1.101,0.117,1.105,5880
HATS-11 b,10.2,,,,3.619192,,,,,0.89,
HATS-12 b,8.84505104,,,,3.142846,,,1.214365,,1.29462,6235
HATS-13 b,,,,,3.0440546,,,0.962,,0.887,5523
HATS-14 b,11.646151,340.39593,1276,,2.7667641,0.03815,,0.967,,0.933,5346
HATS-15 b,12.385945,689.6911,1505,,1.74748753,0.02712,G9 V,0.871,-0.20412,0.922,5311
HATS-16 b,14.5717,1039.3041,1592,,2.686502,0.03744,G3 V,0.97,0.17319,1.238,5738
HATS-17 b,,,,,16.254688,,G V,1.131,0.09342,1.091,5846
HATS-18 b,14.986433,629.3034,2060,2990,0.8378434,0.01761,G V,1.037,-0.03152,1.02,5600
HATS-2 b,13.092112,486.2799,,,1.354133,0.02298,,0.882,,0.898,5227
HATS-22 b,10.682177,870.8542,858,,4.7228124,0.05025,K V,0.759,-0.64589,0.689,4803
HATS-23 b,22.503541,,,,2.160344,,,,,1.2,5780
HATS-24 b,15.636555,718.2958,2166,,1.3484978,0.0238,,1.07,0.19,1.12,6125
HATS-25 b,,,,,4.29864716,,G,0.994,0.06819,1.107,5715
HATS-26 b,,,,,3.3023935,,,,,,
HATS-27 b,,,,,4.6370495,,,,,,
HATS-28 b,13.446487,,,,3.180362,,,,,0.92,5498
HATS-29 b,,,,,4.6058754,,G,1.032,0.02938,1.073,5670
HATS-3 b,14.581841,,1504.86,1212.0044,3.547854,,,,,1.4,6351
HATS-30 b,,,,,3.17435131,,G,1.093,0.09691,1.061,5943
HATS-31 b,14.33267511,,1617.93,1619.406,3.377961433,,,,,1.66165,6113
HATS-32 b,,,,,2.8126545,,,,,,
HATS-33 b,,,,,2.5495614,,,1.062,-0.01773,1.022,5659
HATS-34 b,,,,,2.10616098,,,0.955,-0.14026,0.98,5380
HATS-35 b,15.6593,,1958,2440.7,1.82069,,,,,1.35,6155
HATS-36 b,12.92,,1203,,4.175186,0.0523,,1.1,,1.1,5950
HATS-37 A b,6.792654,31.46517,1085,229.7,4.3315366,0.04913,,0.843,-0.25571,0.877,5326
HATS-38 b,6.882326,23.51942,1294,464.7,4.375021,0.05036,,0.89,0.07151,1.105,5732
HATS-39 b,,,,,4.5776335,,,1.379,0.64048,1.621,6572
HATS-4 b,11.43318,416.03947,,,2.516729,0.03623,,1,,0.93,5403
HATS-40 b,,,,,3.2642736,,,1.561,0.90309,2.26,6460
HATS-41 b,,,,,4.1936656,,,,,,
HATS-42 b,,,,,2.29210299,,,,,,
HATS-43 b,,,,,4.3888492,,,0.837,-0.39794,0.812,5099
HATS-44 b,11.960003,177.9848,1161,,2.7439004,0.03649,,0.86,-0.39794,0.847,5080
HATS-45 b,13.90023688,,1361.2,811.3504,4.187615382,,,,,1.23733,6675
HATS-46 b,10.55059224,,970.63,209.7699,4.742370901,,,,,0.877585,5377
HATS-47 b,12.520453,117.27927,852.9,87.73,3.9228038,0.04269,,0.674,-0.79615,0.6564,4512
HATS-48 A b,8.9672,77.23269,954.6,137.6,3.1316666,0.03769,,0.7279,-0.70885,0.7152,4546
HATS-49 b,8.574885,112.19399,834.8,80.45,4.1480467,0.04515,,0.7133,-0.78489,0.6977,4405
HATS-5 b,,,,,4.7633877,,G,0.936,-0.268,0.871,5304
HATS-50 b,12.66617,123.9537,,,3.8297015,0.05046,,1.168,0.14301,1.117,5990
HATS-51 b,13.01103804,,1330.33,740.2246,3.348903818,,,,,1.22959,5711
HATS-52 b,15.437,,1676,1310.22,1.3666563,,,,,1.02,5790.4
HATS-53 b,,,,,3.85377818,,,0.964,0.04532,1.101,5644
HATS-54 b,10.5577,,1301,476.965,2.5441537,,,,,1.31,5652
HATS-55 b,,,,,4.2041844,,,,,,
HATS-56 b,18.920792,191.33366,1902,,4.324799,0.06043,,1.573,0.89763,2.201,6536
HATS-57 b,,,,,2.35061721,,,1.026,-0.0942,0.96,5587
HATS-58 A b,,,,,4.2180732,,,,,,
HATS-59 b,13.3752,,1087,232.397,5.4161129,,,,,1.1,5652
HATS-59 c,,,175.9,0.159,1422,2.504,,1.038,-0.00436,1.036,5670
HATS-6 b,11.50390062,,668.97,47.3315,3.32527029,,,,,0.596801,3724
HATS-60 b,,,,,3.5608104,,,1.097,0.30016,1.46,5688
HATS-61 b,9.95177,,1125,266.851,7.8181434,,,,,1.64,5549
HATS-62 b,11.825495,56.89157,1237,387.4,3.2768837,0.04163,,0.896,-0.17328,0.933,5416
HATS-63 b,13.529263,305.1168,1398.3,634.1,3.0566527,0.04026,,0.931,0.01199,1.07,5627
HATS-64 b,18.819911,305.1168,1793,1711,4.908897,0.06562,,1.564,0.86747,2.113,6554
HATS-65 b,16.824709,260.93843,1634,1178,3.105161,0.04497,,1.257,0.37658,1.31,6277
HATS-66 b,15.815899,1694.0339,1998,2637,3.1414391,0.04714,,1.411,0.76716,1.841,6626
HATS-67 b,,,,,1.60918292,,,,,,
HATS-68 b,,,,,3.5862203,,,1.351,0.59218,1.748,6147
HATS-69 b,10.09261891,,1188,470.7467,2.225051381,,,,,0.883426,5103
HATS-7 b,5.42203496,,972.76,211.6178,3.185318599,,,,,0.781959,4944
HATS-70 b,,,,,1.88823968,,,1.78,1.07918,1.881,7930
HATS-71 b,11.478016,117.5971,586.8,,3.7955202,0.03745,M3 V,0.4861,-1.55988,0.4783,3405
HATS-72 b,9.49027,,697,39.3409,7.327945,,,,,0.79,4521
HATS-74 A b,11.56766808,464.0294742,895.1,106.9,1.73185606,0.02384,,0.601,-1.2161,0.5758,3776.9
HATS-75 b,9.90873894,156.0537478,772.3,59.26,2.7886556,0.032742,,0.6017,-1.19661,0.5848,3790.4
HATS-76 b,11.75690439,,857.33,127.6743,1.941636568,,,,,0.633668,3837
HATS-77 b,13.90112935,,798.04,95.8572,3.087629733,,,,,0.69386,4105
HATS-8 b,9.785457,43.86054,1324,,3.583893,0.04667,,1.056,,1.086,5679
HATS-9 b,11.937585,266.02371,1823,,1.9153073,0.03048,,1.03,0.23,1.503,5366
HD 100546 b,77.3421,2701.54146,,,,53,B9 Vne,2.4,1.5,,10500
HD 100655 b,,,,,157.57001,0.68,,2.28,,10.06,4891
HD 100777 b,,390.9289406,,,383,1.06,G8 V,1.08,,,
HD 101581 b,0.956,,834,80,4.46569,0.046,,0.653,,0.63,4675
HD 101581 c,0.99,,747,52,6.20401,0.0573,,0.653,,0.63,4675
HD 10180 c,,,,,5.75969,0.06412,,1.06,,1.109,5911
HD 10180 d,,,,,16.357,0.12859,,1.06,,1.109,5911
HD 10180 e,,,,,49.745,0.2699,G1 V,1.06,0.17319,,5911
HD 10180 f,,,,,122.744,0.4929,,1.06,,1.109,5911
HD 10180 g,,,,,601.2,1.422,G1 V,1.06,0.17319,,5911
HD 10180 h,,,,,2205,3.381,,1.06,,1.109,5911
HD 101930 b,,,,,70.46,0.302,K1 V,0.74,-0.3098,,5079
HD 102117 b,,,,,20.67,0.149,G6 V,1.03,0.1959,,5672
HD 102195 b,,,,,4.079,0.049,K0 V,0.92,,,
HD 102272 b,,,,,127.58,0.614,K0,1.9,,10.1,4908
HD 102329 b,,,,,778.1,2.03,,1.95,1.29226,6.3,4830
HD 102329 c,,,,,1123,,,1.3,,,
HD 102365 b,,,,,122.1,0.46,,0.85,,,5630
HD 102843 b,,,,,3090.942,4.074,K0 V,0.95,,,5436
HD 102888 b,,,,,252.06,1.05,G8 III,2.42,1.61584,8.6,4990
HD 102956 b,,,,,6.495,0.081,,1.68,1.06446,4.4,5054
HD 103197 b,,,,,47.84,0.25,,0.8,,0.88,5250
HD 103720 b,,,,,4.5557,0.0498,K3 V,0.794,,0.73,5017
HD 103774 b,,,,,5.8881,0.07,F5 V,1.335,0.544,,6489
HD 103891 b,,,,,1919,3.27,F9,1.28,0.78604,2.22,6072
HD 103949 b,,,,,120.878,0.439,K3 V,0.77,,,4792
HD 104067 b,,,,,55.806,0.26,,0.62,,0.74,4937
HD 104067 c,,,,,13.8992,0.1058,,0.82,,0.78,4952
HD 10442 b,,,,,1043,2.34,,2.58,,4.73,5034
HD 104985 b,,,,,198.2,0.78,,,,11.6298,4679.37
HD 105618 b,,,,,10.02245,0.091,,1.01,,,
HD 105618 c,,8419.59233,,,77114.07158,35.731,,1.01,,,
HD 105779 b,,,,,2412,3.38,G2,0.89,-0.10791,0.94,5792
HD 106252 b,,3178.28407,,,1535,2.655,G0,1.05,0.1232,,
HD 106270 b,,3623.24384,,,1890,3.347,G5 IV,1.48,,,5567
HD 106315 b,2.4,,1146,,9.55385,0.08887,,1.027,0.35025,1.281,6254
HD 106315 c,4.29405386,,,,21.057504,,,1.119172,,1.273595,6321
HD 10647 b,,,,,1003,2.03,,1.1,,,6105
HD 106515 A b,,6006.956892,,,3626,4.48,G5 V,0.89,-0.16368,,
HD 106906 b,,4115.8985,1820,,,,,1.32,0.85344,2.12351,6473.79
HD 10697 b,,2151.698315,,,1075.5,2.143,G3 V,1.13,,,5641
HD 107148 b,,,,,48.056,0.269,,1.12,,,5797
HD 107148 c,,,,,18.3267,0.1407,,1.105215,,1.169193,5752.92
HD 108147 b,,,,,10.8985,0.102,,1.22,0.30297,1.20664,6255.73
HD 108202 b,,953.485221,,,2990,3.7,K4/5 V,0.74,,,
HD 108236 b,1.615,,,,3.795963,0.04527,,0.869,-0.14997,0.877,5660
HD 108236 c,2.05674802,,910.15,162.1675,6.203621886,,,,,0.864173,5723.87
HD 108236 d,2.62316413,,691,53.8795,14.17589473,,,,,0.864173,5723.87
HD 108236 e,3.12,,636,,19.5917,0.14,G3 V,0.97,,0.888,5730
HD 108236 f,2.017,,,,29.54115,0.1758,,0.869,-0.14997,0.877,5660
HD 108341 b,,715.1139158,,,1148,2.029,K2 V,0.843,,,5122
HD 108863 b,,,,,443.39999,1.45,,2.17,,7.19,4863
HD 108874 b,,,,,395.8,1.038,G5,0.95,,,5551
HD 108874 c,,,,,,2.658,,0.99,,,
HD 109246 b,,,,,68.27,0.33,G0 V,1.01,,1.02,5844
HD 109271 b,,,,,7.8543,0.079,G5 V,1.047,0.301,,5783
HD 109271 c,,,,,30.93,0.196,G5 V,1.047,0.301,,5783
HD 109286 b,,,259.4,0.709,520.1,1.259,G4 V,0.98,,1.089,5694
HD 109749 b,,,,,5.24,0.06,,1.23,,1.28,5858
HD 10975 b,,,,,283.8,0.95,K0 III,1.41,1.78986,11.16,4840
HD 109833 b,2.16591,,786,63.4589,9.188506,,,,,0.98,5876
HD 109833 c,2.59,,,,13.900148,,,1.08,0.07188,1,5881
HD 109988 b,,6935.333669,,,17132.15854,12.518,,0.88,,,
HD 110014 b,,,,,835.477,2.14,K2 III,2.17,,20.9,4445
HD 110067 b,2.2,5.69,800,,9.113678,0.0793,K0.0 V,0.798,,0.788,5266
HD 110067 c,2.388,6.3,699,,13.673694,0.1039,K0.0 V,0.798,,0.788,5266
HD 110067 d,2.852,8.52,602,,20.519617,0.1362,K0.0 V,0.798,,0.788,5266
HD 110067 e,1.94,3.9,533,,30.793091,0.1785,K0.0 V,0.798,,0.788,5266
HD 110067 f,2.601,5.04,489,,41.05854,0.2163,K0.0 V,0.798,,0.788,5266
HD 110067 g,2.607,8.4,440,,54.76992,0.2621,K0.0 V,0.798,,0.788,5266
HD 110082 b,3.05380568,,957.2,198.3948,10.18269827,,,,,1.14582,6153
HD 110113 b,,,,,2.54047309,,G,0.997,,0.968,5732
HD 110113 c,,,990,199.9,6.744,0.068,G,0.997,,0.968,5732
HD 110537 b,,8612.832001,,,24469.67342,16.714,,1.02,,,
HD 11112 b,,2598.565056,,,17244.90764,13.38,,1.07,,,
HD 111232 b,,,,,1143,1.97,,0.84,,0.9,5512
HD 111232 c,,6579.048025,,,32100,18.8,G8 V,0.83,,,5494
HD 111591 b,,,,,1056.4,2.5,,1.94,1.58058,8.03,4884
HD 111998 b,,1525.576354,,,810,1.91,F6 V,1.4,,,
HD 112300 b,,,,,466.63,1.33,M1 III,1.4,2.70121,65.8,3657
HD 112570 b,,1086.973152,,,2615,3.9,K0 III,1.15,1.6466,9.85,4750
HD 112640 b,,,,,613.2,1.7,K0 III,1.8,2.45255,39,4155
HD 113337 b,,,,,317.58639,1.022,,1.41,,,
HD 113337 c,,4449.597698,,,3165,,,1.4,,,
HD 11343 c,,,,,228.53731,0.923,,2.009,,,
HD 113538 b,,,,,263.3,0.71,K9 V,0.7,-1.04576,0.65,4685
HD 113538 c,,,,,1818,2.44,K9 V,0.585,,0.53,4462
HD 113996 b,,,,,610.2,1.6,,1.49,2.46389,25.11,4181
HD 114082 b,11.2089807,2542.627256,,,109.75,0.5109,F3 V,1.47,0.5832,1.49,6651
HD 114386 b,,,,,937.7,1.65,,0.68,-0.54,,4804
HD 114729 b,,,,,1121.79,2.067,,0.936,,1.473,5844
HD 114783 b,,,,,501,1.2,,0.92,,,
HD 114783 c,,603.8739733,,,4352,5,K1 V,0.9,,,
HD 11505 b,,2510.526587,,,32669.22247,20.247,,1.03,,,
HD 11506 b,,,,,1627.5,2.708,G0 V,1.24,0.328,1.33,6055
HD 11506 c,,,,,170.455,0.639,,1.12,0.33685,1.35033,6030
HD 11506 d,,2346.527129,,,14723.57452,12.235,,1.12,,,
HD 115404 A b,,,,,10.49488,0.088,,0.83,,,
HD 115404 A c,,3279.671332,,,15319.22517,11.364,,0.83,,,
HD 115954 b,,2685.650039,,,3230,4.53,G5 V,1.18,,,5957
HD 116029 b,,,,,670,1.78,,1.58,1.05308,4.6,4951
HD 116029 c,,,,,907,,,1.33,,,
HD 117207 b,,,,,2628,,,1.031,,,
HD 11755 b,,,,,433.70001,1.09,,0.72,,20.58,4312
HD 117618 b,,,,,25.827,0.176,,1.1,0.21304,1.18438,5995.71
HD 118203 b,13.1383,,1509,861.554,6.1349783,,,,,2.05,5828.7
HD 118203 c,,3747.196919,,,5103,6.28,,1.27,,2.04,5742
HD 11964 b,,,,,1956,,,1.08,,,
HD 11964 c,,,,,37.9196,0.2315,,1.151343,,2.0475,5345.6
HD 11977 b,,,,,,1.89,,1.8,,,
HD 120084 b,,,,,2082,4.3,G7 III,2.39,1.64,9.12,4892
HD 121504 b,,,,,63.33,0.33,,1.62,,1.07,6027
HD 12235 b,,,,,4.36305,0.054,,1.1,,,
HD 12235 c,,3135.695063,,,36336.70679,22.21,,1.1,,,
HD 122562 c,,,,,84.96276,0.406,,1.241,,,
HD 124330 b,,,,,270.66,0.86,G4 IV,1.15,,,5873
HD 12484 b,,,,,58.83,0.297,F8,1.01,,,5920
HD 125271 b,,3465.60095,,,14901.99295,10.817,,0.75,,,
HD 125390 b,,10806.16584,,,1758,3.184,G7 III,1.6,,,4882
HD 125595 b,,,,,9.6737,0.08,,0.29,,0.74,4691
HD 125612 b,,,,,557.69994,1.349,,1.05,,,
HD 125612 c,,,,,4.15466,0.051,,1.05,,,
HD 125612 d,,2281.372305,,,2822.72698,3.982,,1.05,,,
HD 12648 b,,,,,133.60001,0.54,,0.67,,11.02,4835
HD 126525 b,,,,,960.41,1.837,,0.897,,0.979,5638
HD 12661 b,,,,,262.36,0.824,,1.084826,,1.198172,5661.18
HD 12661 c,,,,,1708,2.9,,1,0.1327,1.21377,5655
HD 126614 b,,,,,1253.5,2.291,,1.021245,,1.369794,5409.83
HD 127506 b,,,,,65.78395,0.287,,0.73,,,
HD 128311 b,,,,,453.019,1.084,,0.828,,0.76,
HD 128311 c,,,,,923.8,1.745,K0,0.828,,,4965
HD 128356 b,,,,,298.2,0.87,K3 V,0.65,-0.4437,0.85,4875
HD 129445 b,,797.7493016,,,1802,2.984,G6 V,1.09,,,5646
HD 130322 b,,,,,10.70871,0.0925,,0.92,,0.85,5387
HD 131496 b,,,,,883,2.09,,1.61,0.99123,4.3,4927
HD 13167 b,,,,,2613,4.1,,1.35,,2.39,5671
HD 13189 b,,,,,471.60001,1.25,,2.24,,38.41,4175
HD 132406 b,,1970.536123,,,964,1.969,G0 V,1.09,,,5766
HD 132563 b,,,,,1544,2.62,,1.231,0.37408,1.29577,6289
HD 133131 A b,,,,,649,1.44,G2 V,0.95,,,5799
HD 133131 A c,,,,,3568,4.49,G2 V,0.95,,,5799
HD 133131 B b,,,,,5769,6.15,G2 V,0.93,,,5805
HD 134060 b,,,,,3.2696,0.0444,G3 IV,1.095,0.15836,,5966
HD 134060 c,,,,,1291.5646,2.3928,G3 IV,1.095,0.15836,,5966
HD 134606 b,,,,,12.089,0.1046,,1.046,0.06483,1.158,5576
HD 134606 c,,,,,58.883,0.3007,,1.046,0.06483,1.158,5576
HD 134606 d,,,,,966.5,1.941,,1.046,0.06483,1.158,5576
HD 134606 e,,,,,4.3203,0.0527,,1.046,0.06483,1.158,5576
HD 134606 f,,,,,26.915,0.1784,,1.046,0.06483,1.158,5576
HD 134987 b,,,,,258.17999,0.81,,1.1,,1.22,5736
HD 134987 c,,,,,5960,6.62,,1.092644,,1.292303,5700.78
HD 135344 A b,16.25302201,3178.28407,1585,,,16.5,A0 V,,1.22,1.5,9540
HD 135625 b,,731.0053361,,,4055,5.4,G3 IV/V,1.28,,,
HD 135694 b,2.5320132,6.1,750.83,,15.92346,0.12,,0.913,0.03941,1.0726,5698
HD 135872 b,,1744.560126,,,2422.32597,4.172,,1.646,,,
HD 136118 b,,5244.168716,,,1191,2.353,F7 V,1.21,,,6097
HD 136352 b,1.664,4.72,905,111.6,11.57797,0.0964,,0.87,0.0162,1.058,5664
HD 136352 c,2.70502784,,603.66,31.3831,27.59207175,,,,,1.02607,5739
HD 136352 d,,,433.3,5.8,107.63,0.4285,,0.906,0.03383,1.012,5850
HD 136418 b,,,,,464.3,1.32,,1.33,0.83251,3.4,5071
HD 136925 b,,,,,4540,5.13,,0.875104,,1.193078,5773.19
HD 13724 c,,,,,142.22895,0.534,,1.004,,,
HD 137388 b,,,,,330,0.89,,0.68,,0.88,5181
HD 137496 b,1.31,4.04,2130,,1.62116,0.02732,G,1.04,,1.59,5799
HD 137496 c,,,370,,479.9,1.2163,G,1.04,,1.59,5799
HD 13808 b,,,,,14.1815,0.10519,K2 V,0.771,,0.781,5035
HD 13808 c,,,,,53.753,0.2554,K2 V,0.771,,0.781,5035
HD 13908 b,,,,,19.382,0.154,F8 V,1.29,0.602,1.67,6255
HD 13908 c,,,,,931,2.03,F8 V,1.29,0.602,1.67,6255
HD 13931 b,,,,,4218,5.15,,1.022,0.1959,1.23,5829
HD 139357 b,,,,,1125.7,2.36,,1.35,,11.47,4700
HD 1397 b,11.466807,116.64361,1519,,11.5366,0.1003,,1.257,0.63548,2.341,5474
HD 14067 b,,,,,1455,3.4,G9 III,2.4,1.898,12.4,4815
HD 140901 b,,,,,9.02378,0.085,,0.99,,,
HD 140901 c,,1997.23371,,,7417.50547,7.421,,0.99,,,
HD 141004 b,,,,,15.5083,0.1238,,1.051904,,1.389372,5885.38
HD 141399 b,,,,,94.375,0.4176,,1.091086,,1.387236,5594.76
HD 141399 c,,,,,201.776,0.693,,1.091086,,1.387236,5594.76
HD 141399 d,,,,,1074.8,2.114,,1.091086,,1.387236,5594.76
HD 141399 e,,,,,5000,5,K0,1.07,,,5600
HD 141937 b,,,,,653.22,1.52,G2/G3 V,1.1,0.06819,,5925
HD 142 A d,,,,,108.45299,0.474,,1.21,,,
HD 142 b,,,,,339,1,G1 IV,1.15,,,6025
HD 142 c,,,,,6005,6.8,,1.232,,1.47,6245
HD 142022 A b,,1433.406116,,,1935,2.939,G9 IV-V,0.98,,,5499
HD 142245 b,,,,,1299,2.77,,1.69,1.13033,5.2,4878
HD 142415 b,,,,,386.3,1.05,,1.03,0.06,,6045
HD 143105 b,,,,,2.1974,0.0379,F5,1.51,,,6380
HD 143361 b,,,,,1057,2,,0.95,,,
HD 144899 b,,,,,40.43914,0.242,,1.16,,,
HD 145377 b,,,,,103.95,0.45,,1.12,0.19312,1.14,6046
HD 145457 b,,,,,176.13,0.762,,1.9,1.65514,9.9,4757
HD 145675 c,,,,,25000,16.4,,0.969205,,0.995819,5314.94
HD 145934 b,,,,,2790,4.73,,1.812692,,6.930587,4823.75
HD 1461 b,,,,,5.77267,,,1.03,0.0954,1.12896,5739
HD 1461 c,,,,,13.5052,0.1117,G0 V,1.02,,,5765
HD 147018 b,,,,,44.236,0.2388,G9 V,0.927,,,5441
HD 147018 c,,,,,1008,1.922,G9 V,0.927,,,5441
HD 147379 b,,,,,86.58,,M0.0 V,0.58,,,4090
HD 147513 b,,,,,528.4,1.32,,1.11,-0.01,,5883
HD 14787 b,,,,,676.6,1.7,,1.43,,5.01,4946
HD 147873 b,,,,,116.596,0.522,G1 V,1.38,0.77743,2.29,5972
HD 147873 c,,,,,491.54,1.36,G1 V,1.38,0.77743,2.29,5972
HD 148156 b,,,,,1027,2.45,,1.22,0.25042,1.21,6308
HD 148164 b,,,,,328.55,0.993,F8,1.21,0.33,1.34,6032
HD 148164 c,,,,,5062,6.15,F8,1.21,0.33,1.34,6032
HD 148427 b,,,,,331.5,1.04,,1.64,,3.86,5025
HD 149026 b,9.090499,102.34126,,,2.8758916,0.04364,,1.34,,1.534,6160
HD 149143 b,,,,,4.07182,0.053,G0,1.2,0.35,1.44,5856
HD 149806 b,,4003.684443,,,16521.52778,12.404,,0.93,,,
HD 150010 b,,,,,562,1.4,K2 III,1.3,1.98227,16.2,4153
